id,date,time_Asia_Baghdad,cycle,pillar,format,Arabic_title,reader_payoff,status
B06,2026-09-21,14:20,6,Bunyan Pro,reel,العميل قال «تمام». على ماذا؟,نص تحديث يوضح المطلوب من العميل ويمنع تحميل كلمة «تمام» أكثر مما تعني.,Editorial draft; not scheduled
U06,2026-09-22,20:35,6,Practical AI,carousel,جدولك يحتاج 120 دقيقة… وعندك 90.,طلب تخطيط يكشف 30 دقيقة نقص ويعرض خيار تأجيل واضح بدل اختصار الزمن سرًا.,Editorial draft; not scheduled
B07,2026-09-23,09:15,7,Bunyan Pro,carousel,الموقع متوقف… ما القرار الناقص؟,سجل عائق من ست خانات يجعل اجتماع المتابعة ينتهي بخطوة محددة.,Editorial draft; not scheduled
S07,2026-09-23,20:45,7,AI services,carousel,المبيعات صفر. هل الطلب صفر؟,جدول صغير يضيف حالة التوفر ويمنع تفسيرًا خاطئًا قبل بناء التنبؤ.,Editorial draft; not scheduled
U07,2026-09-24,14:30,7,Practical AI,reel,قبل أن يرتّب ملاحظاتك… تأكد أنه قرأها.,خطوتان لصورة ملاحظات: تفريغ مع مواضع الشك، ثم تنظيم النص المصحح.,Editorial draft; not scheduled
S08,2026-09-25,09:25,8,AI services,reel,تدريب AI الذي يعود إلى المكتب,تمرين تدريب 30 دقيقة بثلاث جولات ومخرج حقيقي قابل للفحص.,Editorial draft; not scheduled
B08,2026-09-25,14:40,8,Bunyan Pro,carousel,المهندس تغيّر. ماذا بقي للمشروع؟,حزمة تسليم من صفحة واحدة واختبار استرجاع يكشف ما بقي في ذاكرة الأشخاص.,Editorial draft; not scheduled
U08,2026-09-26,20:55,8,Practical AI,carousel,العرض جميل. هل تستطيع تعديل كلمة فيه؟,فحص تسليم عرض عربي: حرّر كلمة، أعد فتح الملف، وافحص اتجاه النص والقالب ومصدر الادعاء.,Editorial draft; not scheduled
S09,2026-09-27,14:20,9,AI services,carousel,قِس العمل المقبول، لا سرعة المسودة,بطاقة اختبار قبل/بعد تحفظ الجودة وتضم زمن التصحيح.,Editorial draft; not scheduled
B09,2026-09-27,20:35,9,Bunyan Pro,reel,صور المشروع لا تشرح دور شركتك,بطاقة مشروع من أربعة حقول تساعد المالك على عرض خبرته بصدق وبما يفيد العميل القادم.,Editorial draft; not scheduled
U09,2026-09-28,09:05,9,Practical AI,carousel,المصطلح نفسه… لا تترجمه بثلاث طرق.,جدول مصطلحات عربي/إنجليزي يتضمن المعنى والاستثناء قبل الترجمة.,Editorial draft; not scheduled
S10,2026-09-29,09:15,10,AI services,carousel,خريطة أتمتة يستطيع الفريق تنفيذها,نموذج مكتمل لخريطة تجديد عقد خدمة، مع صيغة يملؤها القارئ لمساره.,Editorial draft; not scheduled
B10,2026-09-29,14:30,10,Bunyan Pro,carousel,اختبر نظام المتابعة على مشروع واحد,تجربة سبعة أيام بمعايير نجاح يحددها المكتب قبل البدء، تصلح لبنيان أو لأي أسلوب متابعة آخر.,Editorial draft; not scheduled
U10,2026-09-30,20:45,10,Practical AI,reel,تابع القدرة التي تحتاجها، لا كل أخبار AI.,قالب متابعة محدود لأداة تفريغ عربي مع تمييز الإعلان من الإتاحة والفائدة العملية.,Editorial draft; not scheduled
